,bv_type,bv_res,s2_rel
0,C6H6,29,0.8682073857151649
1,C1'H1',29,0.6480462686188573
2,C6H6,30,0.8905044937865583
3,C1'H1',30,0.7824970365429735
4,C6H6,31,0.12470879002329882
5,N3H3,31,0.12417010816055529
6,C1'H1',31,0.18293751100028843
7,C8H8,32,0.10682039133415033
8,N1H1,32,0.17043812917798762
9,C1'H1',32,0.1166341418147191
10,C8H8,33,0.059786237883704185
11,N1H1,33,0.053720693849496404
12,C1'H1',33,0.0894339999156204
13,C8H8,34,0.43490667451972587
14,N1H1,34,0.7176131003684569
15,C1'H1',34,0.29159118484933
16,C8H8,35,0.13529087348209567
17,C2H2,35,0.22818100932651075
18,C1'H1',35,0.11092117378114663
19,C8H8,36,0.9308011278054646
20,N1H1,36,0.8643192424252897
21,C1'H1',36,0.7091848002740337
