alpha,beta,gamma,conf_no,rmsd1,rmsd2
37.0,26.8,39.5,1,0.44,0.48
38.7,36.1,53.0,2,0.44,0.48
73.9,19.5,-1.9,3,0.44,0.69
5.0,11.0,62.0,4,0.44,0.5
-20.6,92.5,-13.2,5,0.44,0.48
35.7,23.7,47.4,6,0.44,0.49
32.8,35.7,61.6,7,0.44,0.48
90.3,37.6,-52.4,8,0.47,0.49
42.0,46.1,11.8,9,0.44,0.48
55.7,30.2,40.4,10,0.45,0.48
26.3,31.6,63.2,11,0.44,0.48
70.2,23.4,1.3,12,0.45,0.51
35.1,28.6,51.7,13,0.44,0.48
39.0,23.9,22.7,14,0.44,0.48
32.7,32.4,61.9,15,0.45,0.48
27.0,20.1,55.4,16,0.44,0.6
8.3,29.3,87.7,17,0.45,0.54
40.5,29.2,52.6,18,0.44,0.62
30.0,17.7,52.3,19,0.44,0.49
36.9,24.4,51.4,20,0.44,0.5
25.0,111.3,42.9,21,0.47,0.69
49.4,16.9,13.9,22,0.44,0.68
20.1,29.8,68.4,23,0.44,0.48
22.8,26.3,61.8,24,0.45,0.54
44.1,23.3,29.7,25,0.44,0.49
22.3,28.3,77.5,26,0.44,0.48
24.9,25.8,45.0,27,0.44,0.49
96.1,56.4,-22.8,28,0.52,0.48
38.9,17.5,35.9,29,0.44,0.61
68.3,29.5,29.6,30,0.44,0.6
38.3,27.7,54.3,31,0.44,0.48
-43.4,43.4,121.2,32,0.44,0.5
59.2,19.9,7.3,33,0.44,0.48
6.1,19.4,71.2,34,0.44,0.62
43.9,24.7,26.8,35,0.44,0.5
42.2,13.0,28.9,36,0.44,0.7
22.6,27.6,55.9,37,0.44,0.48
25.4,24.8,57.8,38,0.44,0.48
86.9,25.2,-5.4,39,0.45,0.52
16.8,26.0,72.4,40,0.44,0.65
9.2,26.4,79.8,41,0.44,0.61
117.4,-24.6,-46.2,42,0.45,0.5
49.1,24.7,23.3,43,0.44,0.48
87.1,18.2,-28.5,44,0.44,0.66
44.4,16.5,36.8,45,0.44,0.63
85.8,33.8,-4.1,46,0.44,0.48
16.6,24.5,63.7,47,0.45,0.68
81.7,30.7,-9.3,48,0.44,0.64
27.9,26.4,78.9,49,0.44,0.48
18.3,27.0,74.3,50,0.45,0.48
38.1,21.8,38.9,51,0.44,0.49
2.9,21.7,77.9,52,0.45,0.5
39.3,11.5,-4.3,53,0.44,0.49
52.9,17.9,6.5,54,0.44,0.49
32.7,29.7,60.8,55,0.44,0.49
54.5,15.8,9.7,56,0.44,0.48
-0.2,17.7,83.1,57,0.44,0.58
87.2,24.7,-22.5,58,0.44,0.58
10.4,32.9,91.7,59,0.45,0.49
104.5,-9.0,-75.1,60,0.44,0.49
16.4,21.4,62.4,61,0.44,0.49
16.0,29.1,83.3,62,0.44,0.52
17.6,35.3,79.6,63,0.44,0.48
36.7,17.3,47.1,64,0.44,0.65
-80.0,39.8,97.8,65,0.44,0.48
61.8,20.2,15.6,66,0.44,0.49
9.9,17.4,72.3,67,0.44,0.62
25.7,23.8,52.2,68,0.44,0.49
20.8,20.9,63.4,69,0.44,0.68
29.3,31.1,68.1,70,0.44,0.48
25.5,31.2,72.6,71,0.45,0.57
71.6,22.9,13.2,72,0.44,0.51
40.4,31.5,51.9,73,0.44,0.5
75.0,18.8,-3.9,74,0.44,0.65
69.1,21.0,0.9,75,0.44,0.49
65.4,22.8,9.0,76,0.44,0.63
43.2,35.7,56.1,77,0.44,0.49
-3.9,55.5,78.1,78,0.44,0.48
32.7,33.4,59.9,79,0.44,0.48
1.1,29.3,78.9,80,0.45,0.5
21.4,20.5,60.4,81,0.44,0.48
32.3,23.5,37.6,82,0.44,0.53
6.2,18.7,64.8,83,0.69,0.48
56.2,19.8,29.3,84,0.44,0.5
72.3,22.2,13.5,85,0.44,0.5
28.8,25.2,69.7,86,0.63,0.49
24.8,60.5,2.2,87,0.5,0.5
57.2,27.5,33.3,88,0.44,0.56
5.5,49.1,45.6,89,0.44,0.49
50.2,17.6,33.2,90,0.44,0.48
11.3,34.2,90.5,91,0.45,0.49
73.0,38.8,14.9,92,0.45,0.52
63.9,24.3,9.0,93,0.44,0.6
29.9,19.6,35.5,94,0.44,0.48
68.9,23.7,-3.6,95,0.44,0.49
42.5,23.3,33.0,96,0.44,0.49
52.5,36.5,39.4,97,0.45,0.48
100.2,46.4,-13.3,98,0.49,0.48
34.4,18.6,50.1,99,0.45,0.68
